Full-Text Downloads for 2013-11-01 through 2014-01-31 for Berkeley Law Scholarship Repository					
Title	URL	First published	11/1/2013	12/1/2013	1/1/2014
The Breast Implant Fiasco	http://scholarship.law.berkeley.edu/californialawreview/vol87/iss2/4	7/10/2012	7	5	2
Baker v. Carr: New Light on the Constitutional Guarantee of Republican Government	http://scholarship.law.berkeley.edu/californialawreview/vol50/iss2/3	7/19/2012	7	16	0
Follow the Money: Getting to the Root of the Problem with Civil Asset Forfeiture in California	http://scholarship.law.berkeley.edu/californialawreview/vol90/iss5/8	7/10/2012	7	7	0
The Common Thread: Diversion in Juvenile Justice	http://scholarship.law.berkeley.edu/californialawreview/vol88/iss6/15	7/10/2012	7	7	0
Tort Law in California: At the Crossroads	http://scholarship.law.berkeley.edu/californialawreview/vol67/iss3/2	7/17/2012	7	4	0
Theory of Loss Allocation for Consumer Payments	http://scholarship.law.berkeley.edu/facpubs/1335	9/18/2012	7	7	0
Our Declaratory Ninth Amendment	http://scholarship.law.berkeley.edu/facpubs/978	9/18/2012	7	6	0
Kelo: A Case Rightly Decided	http://scholarship.law.berkeley.edu/facpubs/664	9/18/2012	7	7	1
Intimate Violence: A Study of Intersexual Homicide in Chicago	http://scholarship.law.berkeley.edu/facpubs/1137	9/18/2012	7	6	0
Admissibility in California of Declarations of Physical or Mental Condition	http://scholarship.law.berkeley.edu/californialawreview/vol19/iss3/1	7/24/2012	7	6	0
Could a Merger Lead to Both a Monopoly and a Lower Price	http://scholarship.law.berkeley.edu/californialawreview/vol71/iss6/2	7/10/2012	7	4	0
Applicability of the California Guest Statute to Share-the-Expense Motor Trips	http://scholarship.law.berkeley.edu/californialawreview/vol43/iss5/7	7/19/2012	7	11	0
Can we Insure against Liability from Nuclear Incidents	http://scholarship.law.berkeley.edu/californialawreview/vol46/iss1/3	7/19/2012	7	5	1
Toward a Definition of Testimonial: How Autopsy Reports Do Not Embody the Qualities of a Testimonial Statement	http://scholarship.law.berkeley.edu/californialawreview/vol96/iss4/6	7/9/2012	7	12	0
Tongue-Tied in the Market: The Relevance of Contract Law to Racial-Language Minorities	http://scholarship.law.berkeley.edu/californialawreview/vol91/iss2/7	7/9/2012	7	2	0
Centering the Immigrant in the Inter/National Imagination	http://scholarship.law.berkeley.edu/californialawreview/vol85/iss5/7	7/10/2012	7	12	0
The Rule against Disturbing Plain Meaning of Writings	http://scholarship.law.berkeley.edu/californialawreview/vol31/iss2/2	7/20/2012	7	5	1
The Scope of the Treasury's Power to Issue Nonretroactive Regulations	http://scholarship.law.berkeley.edu/californialawreview/vol38/iss2/5	7/20/2012	7	0	0
Looking for Law in China	http://scholarship.law.berkeley.edu/facpubs/445	9/18/2012	7	6	1
"Freedoms of Collective Speech: A Theory of Protected Communications by Organizations, Communities, and the State"	http://scholarship.law.berkeley.edu/facpubs/1540	9/20/2012	7	7	0
The Justification for Controversy under Jewish Law	http://scholarship.law.berkeley.edu/californialawreview/vol76/iss2/3	7/10/2012	7	3	0
Conflict of Laws and Functionally Restricted Substantive Rules	http://scholarship.law.berkeley.edu/californialawreview/vol54/iss4/5	7/17/2012	7	5	1
Failing Predictions in Pursuit of Proportional Representation: Assuring Asian American Voter Strength in San Francisco through 2 Litigation	http://scholarship.law.berkeley.edu/aalj/vol11/iss1/4	9/10/2013	6	4	0
Defrauding the American Dream: Predatory Lending in Latino Communities and Reform of California's Lending Law	http://scholarship.law.berkeley.edu/californialawreview/vol97/iss4/6	7/9/2012	6	5	0
Policing Identities: Cop Decision Making and the Constitution of Citizens	http://scholarship.law.berkeley.edu/facpubs/552	9/18/2012	6	3	0
Hosting Mediations as a Representative of the System of Civil Justice	http://scholarship.law.berkeley.edu/facpubs/499	9/18/2012	6	1	0
The Value of Irony: Legal Orthodoxy and Henry James's Washington Square	http://scholarship.law.berkeley.edu/californialawreview/vol95/iss4/2	7/9/2012	6	13	0
Section 8(b)(1)(A) from Allis-Chalmers to Pattern Makers' League: A Case Study in Judicial Legislation	http://scholarship.law.berkeley.edu/californialawreview/vol74/iss4/6	7/10/2012	6	0	0
Parties: Representative Suits under Federal Rule 23(a)(3)	http://scholarship.law.berkeley.edu/californialawreview/vol35/iss3/7	7/20/2012	6	7	0
Too Many Things to Do: How to Deal with the Dysfunctions of Multiple-Goal Agencies	http://scholarship.law.berkeley.edu/facpubs/796	9/18/2012	6	3	0
Judicial Review in the United States Supreme Court and the High Court of Australia (Part II)	http://scholarship.law.berkeley.edu/facpubs/874	9/18/2012	6	13	4
"Ambiguity, Ambivalence, and Awakening: A South Asian Becoming Critically Aware of Race in America"	http://scholarship.law.berkeley.edu/bjalp/vol11/iss1/7	4/26/2013	6	12	0
Full Faith and Credit for Status Records: A Reconsideration of Gardiner	http://scholarship.law.berkeley.edu/californialawreview/vol97/iss5/3	7/9/2012	6	7	1
Climate Adaptation and Federalism: Mapping the Issues	http://scholarship.law.berkeley.edu/facpubs/412	9/17/2012	6	1	1
"When War Is Work: The G.I. Bill, Citizenship, and the Civic Generation"	http://scholarship.law.berkeley.edu/californialawreview/vol96/iss4/3	7/9/2012	6	8	0
Automobile Financing in California as Affected by Registration	http://scholarship.law.berkeley.edu/californialawreview/vol42/iss2/4	7/19/2012	6	10	0
The Promise of School Choice for Improving the Education of Low-Income Minority Children	http://scholarship.law.berkeley.edu/bglj/vol19/iss2/6	9/24/2013	6	0	0
Pushing Things up to Their First Principles: Reflections on the Values of Affirmative Action	http://scholarship.law.berkeley.edu/californialawreview/vol87/iss6/1	7/10/2012	6	2	0
Pregnancy and the Constitution: The Uniqueness Trap	http://scholarship.law.berkeley.edu/californialawreview/vol62/iss5/4	7/17/2012	6	2	0
Does joint legal custody matter	http://scholarship.law.berkeley.edu/facpubs/708	9/18/2012	6	6	0
The German System of Legal Aid: An Alternate Approach	http://scholarship.law.berkeley.edu/californialawreview/vol54/iss2/20	7/17/2012	6	4	0
Among the Tribes of Shasta County	http://scholarship.law.berkeley.edu/facpubs/298	9/17/2012	6	1	0
How Fair Use Can Help Solve The Orphan Works Problem	http://scholarship.law.berkeley.edu/facpubs/2199	11/1/2013	6	10	1
"Fatal Loss of Balance: Dred Scott Revisited, A"	http://scholarship.law.berkeley.edu/facpubs/916	9/18/2012	6	16	2
State Sovereignty and Nuclear Free Zones	http://scholarship.law.berkeley.edu/californialawreview/vol79/iss4/4	7/10/2012	6	2	0
Adoption of the Negotiable Instruments Law in California	http://scholarship.law.berkeley.edu/californialawreview/vol6/iss1/2	7/24/2012	6	5	0
Workplace Harassment and the First Amendment: A Reply to Professor Volokh	http://scholarship.law.berkeley.edu/facpubs/254	9/17/2012	6	3	0
In the Shadows and Behind the Veil: Women in Afghanistan under the Taliban Rule	http://scholarship.law.berkeley.edu/bglj/vol13/iss1/17	9/24/2013	6	11	0
For Jurisprudential Sociology	http://scholarship.law.berkeley.edu/facpubs/51	9/17/2012	6	4	0
Not a Rotten Carrot: Using Charges Dismissed Pursuant to a Plea Agreement in Sentencing under the Federal Guidelines	http://scholarship.law.berkeley.edu/californialawreview/vol83/iss1/18	7/10/2012	6	4	0
Some Tendencies of Modern Receiverships	http://scholarship.law.berkeley.edu/californialawreview/vol4/iss1/2	7/24/2012	6	2	0
Peace through Law - The Failure of a Noble Experiment	http://scholarship.law.berkeley.edu/facpubs/33	9/17/2012	6	4	3
Validity and the Basic Norm	http://scholarship.law.berkeley.edu/californialawreview/vol59/iss3/5	7/17/2012	6	14	0
Rationing as a Proper Wartime Governmental Function	http://scholarship.law.berkeley.edu/californialawreview/vol31/iss3/3	7/20/2012	6	1	0
"Economic Analysis of the Choice between Enterprise and Personal Liability for Accidents, An"	http://scholarship.law.berkeley.edu/californialawreview/vol70/iss6/2	7/17/2012	6	3	0
Prescriptive Water Rights in California: Is Application a Prerequisite	http://scholarship.law.berkeley.edu/californialawreview/vol39/iss3/3	7/20/2012	6	6	0
Change of Venue in California Criminal Trials	http://scholarship.law.berkeley.edu/californialawreview/vol44/iss1/7	7/19/2012	6	19	0
Racing the Closet	http://scholarship.law.berkeley.edu/facpubs/1290	9/18/2012	6	5	0
Petitioning on Behalf of an Alien Spouse: Due Process under the Immigration Laws	http://scholarship.law.berkeley.edu/californialawreview/vol74/iss5/5	7/10/2012	6	3	0
What's Wrong with Victims' Rights in Juvenile Court: Retributive versus Rehabilitative Systems of Justice	http://scholarship.law.berkeley.edu/californialawreview/vol97/iss4/3	7/9/2012	6	2	0
Planning and Dealing: Piecemeal Land Controls as a Problem of Local Legitimacy	http://scholarship.law.berkeley.edu/californialawreview/vol71/iss3/2	7/10/2012	6	1	0
Tax Election Corporations: Subchapter S of the Internal Revenue Code of 1954	http://scholarship.law.berkeley.edu/californialawreview/vol47/iss2/5	7/19/2012	6	4	0
Site Architects and Construction Workers: Brothers and Keepers or Strangers	http://scholarship.law.berkeley.edu/facpubs/644	9/18/2012	6	1	0
Emotions in the Mobilization of Rights	http://scholarship.law.berkeley.edu/facpubs/1035	9/18/2012	6	9	0
Rule 60(b): Survey and Proposal for General Reform	http://scholarship.law.berkeley.edu/californialawreview/vol60/iss2/3	7/17/2012	6	13	0
Labor's Identity Crisis	http://scholarship.law.berkeley.edu/californialawreview/vol89/iss6/3	7/10/2012	6	6	0
Vacant offices: Delays in Staffing Top Agency Positions	http://scholarship.law.berkeley.edu/facpubs/1597	9/20/2012	6	1	0
Due Process Rights of Participation in Administrative Rulemaking	http://scholarship.law.berkeley.edu/californialawreview/vol63/iss4/3	7/17/2012	6	7	0
"A Handicapped, Not Sleeping, Giant: The Devastating Impact of the Initiative Process on Latina/o and Immigrant Communities"	http://scholarship.law.berkeley.edu/californialawreview/vol96/iss5/3	7/9/2012	6	1	1
Uncertainty	http://scholarship.law.berkeley.edu/facpubs/1763	9/20/2012	6	3	1
Domesticating International Obligations: How to Ensure U.S. Compliance with the Vienna Convention on Consular Relations	http://scholarship.law.berkeley.edu/californialawreview/vol91/iss6/6	7/9/2012	6	7	0
Primary Sources of Acquisition of Community Property	http://scholarship.law.berkeley.edu/californialawreview/vol10/iss4/1	7/24/2012	6	7	0
Black Women Law Professors and Critical Self-Consciousness: A Tribute to Professor Denise S. Carty-Bennia	http://scholarship.law.berkeley.edu/bglj/vol6/iss1/5	9/24/2013	6	2	0
Taking the Long View: Reflections on the Road to Marriage Equality	http://scholarship.law.berkeley.edu/bglj/vol20/iss1/5	9/24/2013	6	3	0
Jailhouse Informants and the Need for Judicial Use Immunity in Habeas Corpus Proceedings	http://scholarship.law.berkeley.edu/californialawreview/vol78/iss3/4	7/10/2012	6	6	1
Imprisoning Rights: The Failure of Negotiated Governance in the Prison Inmate Grievance Process	http://scholarship.law.berkeley.edu/californialawreview/vol96/iss5/5	7/9/2012	6	6	0
Unwinding Sony	http://scholarship.law.berkeley.edu/californialawreview/vol95/iss4/1	7/9/2012	6	2	0
Flatlaw: An Essay on the Dimensions of Legal Reasoning and the Development of Fundamental Normative Principles	http://scholarship.law.berkeley.edu/californialawreview/vol72/iss3/1	7/10/2012	6	7	1
We Have the Power to Make Change: The Role of Community Lawyering in Challenging Anti-Asian Harassment at South Philadelphia High School	http://scholarship.law.berkeley.edu/aalj/vol19/iss1/4	9/11/2013	6	6	1
In Defense of the Court's Legitimacy	http://scholarship.law.berkeley.edu/facpubs/1361	9/18/2012	6	3	0
Dangerousness and Criminal Justice	http://scholarship.law.berkeley.edu/facpubs/1627	9/20/2012	6	5	1
"Casad's Jurisdiction in Civil Actions, Part I\A Sliding Scale to Supplement the Distinction between General and Specific Jurisdiction, Part II"	http://scholarship.law.berkeley.edu/californialawreview/vol72/iss6/5	7/10/2012	6	2	0
Accountability for Private Military Contractors under the Alien Statute	http://scholarship.law.berkeley.edu/californialawreview/vol97/iss5/4	7/9/2012	6	15	0
Exacerbating the Exasperating: Title Vll Liability of Employers for Sexual Harassment Comitted by Their Supervisors	http://scholarship.law.berkeley.edu/facpubs/1580	9/20/2012	6	13	1
Conjugal Violence: The Law of Force and the Force of Law	http://scholarship.law.berkeley.edu/californialawreview/vol69/iss6/2	7/17/2012	6	6	1
Bantham on the Nature and Method of Law	http://scholarship.law.berkeley.edu/californialawreview/vol33/iss4/6	7/20/2012	6	6	0
Letting Patients Die: Legal and Moral Reflections	http://scholarship.law.berkeley.edu/californialawreview/vol80/iss4/3	7/10/2012	6	2	0
Recent Developments in U.S. Export Licensing and Civil Enforcement Procedures: What They Mean to Exporters	http://scholarship.law.berkeley.edu/bjil/vol7/iss2/2	9/24/2012	6	3	0
The Use of Expert and Documentary Evidence in a Constitutional Attack on a State Criminal Statute: The Marijuana Test Case	http://scholarship.law.berkeley.edu/californialawreview/vol56/iss1/3	7/17/2012	6	1	1
Prison Writ-Writing: Three Essays: Introductory Note	http://scholarship.law.berkeley.edu/californialawreview/vol56/iss2/3	7/17/2012	6	0	0
The Burger Court: Misperceptions Regarding Judicial Restraint and Insensitivity to Individual Rights	http://scholarship.law.berkeley.edu/facpubs/731	9/18/2012	6	21	0
Does the Costa-Hawkins Act Prohibit Local Inclusionary Zoning Programs	http://scholarship.law.berkeley.edu/californialawreview/vol89/iss6/4	7/10/2012	6	0	0
Inherit the Wind: The Play's the Thing	http://scholarship.law.berkeley.edu/facpubs/146	9/17/2012	6	5	0
The Continuity of Statutory and Constitutional Interpretation: An Essay for Phil Frickey	http://scholarship.law.berkeley.edu/californialawreview/vol98/iss4/11	7/9/2012	6	3	0
Keeping the Home Team at Home	http://scholarship.law.berkeley.edu/californialawreview/vol74/iss4/4	7/10/2012	6	3	0
Classification of Claims and Interests in Chapter 11 and 13 Cases	http://scholarship.law.berkeley.edu/californialawreview/vol75/iss1/16	7/10/2012	6	5	1
Fact and Fiction about Facial Challenges	http://scholarship.law.berkeley.edu/californialawreview/vol99/iss4/1	7/9/2012	6	8	0
Selectivity and racial bias in a mandatory death sentence dispensation: a South African case study	http://scholarship.law.berkeley.edu/facpubs/1890	3/26/2013	6	3	0
"Shareholder Proposals: A Catalyst for Climate Change-Related Disclosure, Analysis, and Action"	http://scholarship.law.berkeley.edu/bblj/vol5/iss1/2	11/22/2013	6	15	0
Bargaining in the Shadow of Social Institutions: Competing Discourses and Social Change in Workplace Mobilization of Civil Rights	http://scholarship.law.berkeley.edu/facpubs/915	9/18/2012	6	10	1
Multi-State Taxation of Interstate Sales	http://scholarship.law.berkeley.edu/californialawreview/vol27/iss5/3	7/24/2012	6	8	1
Compensation for Accidental Personal Injury: What Nations Might Learn from Each Other	http://scholarship.law.berkeley.edu/facpubs/898	9/18/2012	6	3	0
Conquering the Cultural Frontier: The New Subjectivism of the Supreme Court in Indian Law	http://scholarship.law.berkeley.edu/californialawreview/vol84/iss6/2	7/10/2012	6	6	0
Endowment Effects within Corporate Agency Relationships	http://scholarship.law.berkeley.edu/facpubs/744	9/18/2012	6	6	0
Rethinking Tort Doctrine: Visions of a Restatement (Fourth) of Torts	http://scholarship.law.berkeley.edu/facpubs/1138	9/18/2012	6	4	0
Sex Discrimination: The Textbook Case	http://scholarship.law.berkeley.edu/californialawreview/vol62/iss4/7	7/17/2012	6	61	0
Mapped out of Local Democracy	http://scholarship.law.berkeley.edu/facpubs/1299	9/18/2012	6	1	0
Misappropriation of Funds By Fiducaries the Bank's Liability	http://scholarship.law.berkeley.edu/californialawreview/vol6/iss3/1	7/24/2012	6	11	0
The Legal Profession Faces New Faces: How Lawyers' Professional Norms Should Change to Serve a Changing American Population	http://scholarship.law.berkeley.edu/californialawreview/vol93/iss6/4	7/9/2012	6	3	0
"The Borat Problem in Negotiation: Fraud, Assent, and the Behavioral Law and Economics of Standard Form Contracts"	http://scholarship.law.berkeley.edu/californialawreview/vol101/iss1/2	4/23/2013	6	23	0
FDA's Consideration of Codex Alimentarius Standards in Light of International Trade Agreements	http://scholarship.law.berkeley.edu/facpubs/1169	9/18/2012	6	6	0
Saving Miranda	http://scholarship.law.berkeley.edu/facpubs/1614	9/20/2012	6	5	0
Contract and Copyright are Not at War: A Reply to the Metamorphosis of Contract into Expand	http://scholarship.law.berkeley.edu/californialawreview/vol87/iss1/3	7/10/2012	6	15	0
Governance of Intellectual Resources and Disintegration of Intellectual Property in the Digital Age	http://scholarship.law.berkeley.edu/facpubs/583	9/18/2012	6	12	2
"The Long Bow or Lucretius, Book IV, Line 817"	http://scholarship.law.berkeley.edu/californialawreview/vol43/iss4/2	7/19/2012	6	4	0
Inalienable Rights of Property a Study of Contract Obligations and Other Vested Rights	http://scholarship.law.berkeley.edu/californialawreview/vol5/iss3/3	7/24/2012	6	2	3
The Hmong Campaign for Justice: A Practitioner's Perspective	http://scholarship.law.berkeley.edu/aalj/vol9/iss1/3	9/10/2013	6	11	1
Double Jeopardy's Demise	http://scholarship.law.berkeley.edu/californialawreview/vol88/iss3/18	7/10/2012	6	12	0
"Corporate Legitimacy, Economic Theory, and Legal Doctrine"	http://scholarship.law.berkeley.edu/facpubs/1016	9/18/2012	6	4	1
Interpreters for the Defense: Due Process for the Non-English-Speaking Defendant	http://scholarship.law.berkeley.edu/californialawreview/vol63/iss3/7	7/17/2012	6	9	0
Locke for the Masses: Property Rights and the Products of Collective Creativity	http://scholarship.law.berkeley.edu/facpubs/852	9/18/2012	6	7	0
Martial Law in California	http://scholarship.law.berkeley.edu/californialawreview/vol31/iss1/9	7/20/2012	6	36	4
Obstacles to Access: How Pharmacist Refusal Clauses Undermine the Basic Health Care Needs of Rural and Low-Income Women	http://scholarship.law.berkeley.edu/bglj/vol20/iss1/14	9/24/2013	6	7	0
Why Treaties Can Abrogate State Sovereign Immunity: Applying Central Virginia Community College v. Katz to the Treaty Power	http://scholarship.law.berkeley.edu/californialawreview/vol101/iss3/4	6/11/2013	6	7	0
"The SEC's Ectoplasmic Theory of an Issuer as Applied to Educational and Charitable Institutions, Bank Trustees, and Other Exempt Issuers"	http://scholarship.law.berkeley.edu/californialawreview/vol65/iss6/2	7/17/2012	6	5	0
Judicial Mediation of Cases Assigned to the Judge for Trial - Magistrate Judges Celeste F. Bremer and Karen K. Klein	http://scholarship.law.berkeley.edu/facpubs/1972	8/15/2013	6	4	0
Data Gaps in Natural Resource Management: Sniffing for Leaks along the Information Pipeline	http://scholarship.law.berkeley.edu/facpubs/1601	9/20/2012	6	2	0
"Appraisal of California's No-Fault Divorce Law, An"	http://scholarship.law.berkeley.edu/facpubs/1479	9/20/2012	6	2	1
TRIPS in Seattle: The Not-So-Surprising Failure and the Future of the TRIPS Agenda	http://scholarship.law.berkeley.edu/bjil/vol18/iss1/4	9/24/2012	6	2	0
The Dead Hand of the Architect	http://scholarship.law.berkeley.edu/facpubs/370	9/17/2012	6	0	0
Retribution and the Experience of Punishment	http://scholarship.law.berkeley.edu/californialawreview/vol98/iss5/1	7/9/2012	6	8	0
Earl Warren Chief Justice of the United States	http://scholarship.law.berkeley.edu/californialawreview/vol64/iss1/1	7/17/2012	6	5	0
Admiralty Jurisdiction and Limitation of Liability in Single Claim Cases	http://scholarship.law.berkeley.edu/californialawreview/vol22/iss5/3	7/24/2012	6	14	0
Lawrence's Criminal Law	http://scholarship.law.berkeley.edu/bjcl/vol16/iss1/2	2/15/2013	6	10	1
Federal Review of State Court Decisions of Federal Questions: The Need for Additional Appellate Capacity	http://scholarship.law.berkeley.edu/californialawreview/vol64/iss4/4	7/17/2012	6	7	1
Multidisciplinary Practice through Developing-Country Lenses: The Imperatives of the Nigerian Regulatory Context	http://scholarship.law.berkeley.edu/bjil/vol25/iss2/8	9/24/2012	6	7	0
Molien v. Kaiser Foundation Hospitals: Negligence Actions for Emotional Distress and Loss of Consortium without Physical Injury	http://scholarship.law.berkeley.edu/californialawreview/vol69/iss4/11	7/17/2012	6	9	0
"Corruption, Freedom and Equality in Campaign Financing"	http://scholarship.law.berkeley.edu/facpubs/293	9/17/2012	6	3	0
"Crime, Community, and Criminal Justice"	http://scholarship.law.berkeley.edu/californialawreview/vol90/iss5/2	7/10/2012	6	3	0
Taking Advantage of the Torts Crisis	http://scholarship.law.berkeley.edu/facpubs/1074	9/18/2012	6	0	0
"Bayonets in Paradise: A Half-Century Retrospect on Martial Law in Hawai'i, 1941-1946"	http://scholarship.law.berkeley.edu/facpubs/383	9/17/2012	6	4	0
Regulation and Civil Liability under the California Corporate Securities Act	http://scholarship.law.berkeley.edu/californialawreview/vol33/iss3/1	7/20/2012	6	3	0
From Indifference to Engagement: Bystanders and International Criminal Justice	http://scholarship.law.berkeley.edu/facpubs/598	9/18/2012	6	10	1
The Self-Incrimination Privilege: Barrier to Criminal Discovery	http://scholarship.law.berkeley.edu/californialawreview/vol51/iss1/5	7/17/2012	6	2	1
Informer's Word as the Basis for Probable Cause in the Federal Courts	http://scholarship.law.berkeley.edu/californialawreview/vol53/iss3/3	7/17/2012	6	6	0
Conflict of Interest in Public Contracts in California	http://scholarship.law.berkeley.edu/californialawreview/vol44/iss2/12	7/19/2012	6	6	0
Legal Realism in Action: Indirect Copyright Liability's Continuing Tort Framework and Sony's De Facto Demise	http://scholarship.law.berkeley.edu/facpubs/1203	9/18/2012	6	3	1
Respect for Life and Regard for Rights in the Criminal Law	http://scholarship.law.berkeley.edu/californialawreview/vol64/iss4/2	7/17/2012	6	6	0
"Facts, Fallacies, and California's Three Strikes"	http://scholarship.law.berkeley.edu/facpubs/952	9/18/2012	6	14	0
Legislative Pardons	http://scholarship.law.berkeley.edu/californialawreview/vol27/iss4/1	7/24/2012	6	4	0
The Inefficiency of Mens Rea	http://scholarship.law.berkeley.edu/californialawreview/vol88/iss3/12	7/10/2012	6	2	0
Can Litigation Improve the Law without the Help of Judges	http://scholarship.law.berkeley.edu/facpubs/1779	9/20/2012	6	6	0
Liberating the Public Trust Doctrine from Its Historical Shackles	http://scholarship.law.berkeley.edu/facpubs/186	9/17/2012	6	6	0
"Each One, Pull One: The Inspirational Methodology behind an Impassioned Though Somewhat Flawed Protest"	http://scholarship.law.berkeley.edu/bjalp/vol1/iss1/5	4/26/2013	6	6	0
Vertical Merger Guidelines: Interpreting the 1982 Reforms	http://scholarship.law.berkeley.edu/californialawreview/vol71/iss2/13	7/10/2012	6	1	0
"Television, Tort Law, and Federalism"	http://scholarship.law.berkeley.edu/californialawreview/vol53/iss1/20	7/18/2012	6	15	0
The Kosovo Crisis: Implications of the Right to Return	http://scholarship.law.berkeley.edu/bjil/vol18/iss2/5	9/24/2012	6	3	0
"Close Look at Three Court-Sponsered ADR Programs: Why They Exist, How They Operate, What They Deliver, and Whether They Threaten Important Values, A"	http://scholarship.law.berkeley.edu/facpubs/343	9/17/2012	6	2	0
Innocence Interrupted: Reconstructing Fatherhood in the Shadow of Child Molestation Law	http://scholarship.law.berkeley.edu/californialawreview/vol101/iss3/3	6/11/2013	6	15	0
"Regulating Governmental Data Mining in the United States and Germany: Constitutional Courts, the State, and New Technology"	http://scholarship.law.berkeley.edu/facpubs/1177	9/18/2012	6	2	0
Community Obligations	http://scholarship.law.berkeley.edu/californialawreview/vol10/iss2/3	7/24/2012	6	5	0
"The Chief Justice, Racial Segregation, and the Friendly Critics"	http://scholarship.law.berkeley.edu/californialawreview/vol49/iss1/5	7/19/2012	6	9	0
Just Disagreement: Indeterminacy and Rationality in the Rule of Law	http://scholarship.law.berkeley.edu/facpubs/15	9/17/2012	6	13	0
Representational Standing: U.S. ex rel. Stevens and the Future of Public Law Litigation	http://scholarship.law.berkeley.edu/californialawreview/vol89/iss2/2	7/10/2012	6	7	2
An Introduction to Petty Bag Proceedings in the Reign of Elizabeth I	http://scholarship.law.berkeley.edu/californialawreview/vol51/iss5/2	7/17/2012	6	6	0
On the Growth of the Antitrust Idea	http://scholarship.law.berkeley.edu/bjil/vol16/iss2/4	9/27/2012	6	11	1
Gay Law Students Association v. Pacific Telephone & Telegraph Co.: Constitutional and Statutory Restraints on Employment Discrimination against Homosexuals by Public Utilities	http://scholarship.law.berkeley.edu/californialawreview/vol68/iss4/5	7/17/2012	6	27	0
The Constitutionality of State Laws Providing Employment Leave for Pregnancy: Rethinking Geduldig after Cal Fed	http://scholarship.law.berkeley.edu/californialawreview/vol77/iss1/4	7/10/2012	6	2	0
Collaboration: The True Spirit of Brown v. Board of Education	http://scholarship.law.berkeley.edu/bglj/vol19/iss2/1	9/24/2013	6	1	0
Proceeding in Forma Pauperis in Federal Court: Can Corporations Be Poor Persons	http://scholarship.law.berkeley.edu/californialawreview/vol62/iss1/6	7/17/2012	6	7	0
Administration of Water Rights in California	http://scholarship.law.berkeley.edu/californialawreview/vol44/iss5/2	7/19/2012	6	2	0
Atomism and Automation	http://scholarship.law.berkeley.edu/facpubs/2198	11/1/2013	6	4	0
The Seventh Amendment Right to Jury Trial of Antitrust Issues	http://scholarship.law.berkeley.edu/facpubs/1363	9/18/2012	6	3	1
"The First Claim: The Burr Trial, United States v. Niwon, and Presidetial Power"	http://scholarship.law.berkeley.edu/facpubs/1602	9/20/2012	6	2	1
Rethinking the Language of Race and Racism	http://scholarship.law.berkeley.edu/aalj/vol8/iss1/7	9/10/2013	6	15	0
Roe v. Wade: Our Struggle Continues	http://scholarship.law.berkeley.edu/bglj/vol4/iss1/1	9/24/2013	6	4	0
Who Should Pay for Bad Genes	http://scholarship.law.berkeley.edu/californialawreview/vol90/iss5/1	7/10/2012	6	4	3
Criminal Sentences for Corporations: Alternative Fining Mechanisms	http://scholarship.law.berkeley.edu/californialawreview/vol73/iss2/4	7/10/2012	6	6	1
Joint Income Tax Returns under the Revenue Act of 1948	http://scholarship.law.berkeley.edu/californialawreview/vol36/iss2/6	7/20/2012	6	11	0
Controlling the Market Power of Performing Rights Societies: An Administrative Substitute for Antitrust Regulation	http://scholarship.law.berkeley.edu/californialawreview/vol72/iss1/3	7/10/2012	6	6	0
"Indian Water Rights, Practical Reasoning, and Negotiated Settlements"	http://scholarship.law.berkeley.edu/californialawreview/vol98/iss4/3	7/9/2012	6	9	0
Civil Discovery: How Bad Are the Problems	http://scholarship.law.berkeley.edu/facpubs/1341	9/18/2012	6	4	0
Is International Antitrust Possible	http://scholarship.law.berkeley.edu/facpubs/1459	9/20/2012	6	5	0
Remaking Law: Moving beyond Enlightenment Jurisprudence	http://scholarship.law.berkeley.edu/facpubs/1187	9/18/2012	6	12	0
Law of Municipal Home Rule in Oregon	http://scholarship.law.berkeley.edu/californialawreview/vol8/iss3/2	7/24/2012	6	7	0
What Works with Juvenile Offenders - A Review of Graduated Sanction Programs	http://scholarship.law.berkeley.edu/facpubs/45	9/17/2012	6	11	0
Dispute Resolution in China after Deng Xiaoping: Mao and Mediation Revisited	http://scholarship.law.berkeley.edu/facpubs/79	9/17/2012	6	2	0
"Estoppel Doctrine for Patented Standards, An"	http://scholarship.law.berkeley.edu/facpubs/1747	9/20/2012	6	8	0
Can a Pregnant Woman Morally Refuse Fetal Surgery	http://scholarship.law.berkeley.edu/californialawreview/vol79/iss2/4	7/10/2012	6	6	0
"Welfare, Dialectic, and Mediation in Corporate Law"	http://scholarship.law.berkeley.edu/bblj/vol2/iss1/7	11/22/2013	6	6	1
Cataclysmic Liability Risk among Big Four Auditors	http://scholarship.law.berkeley.edu/facpubs/31	9/17/2012	6	8	1
Reining in Lincoln’s Law: A Call to Limit the Implied Certification Theory of Liability Under the False Claims Act	http://scholarship.law.berkeley.edu/californialawreview/vol101/iss1/4	4/23/2013	6	15	0
Unlocking Liberty: Is California's Habeas Law the Key to Freeing Unjustly Imprisoned Battered Women	http://scholarship.law.berkeley.edu/bglj/vol19/iss1/12	9/24/2013	6	6	0
Increasing Healthcare Coverage for Women of Color in the Workplace: A Proposal for Legislative Change in Labor Law	http://scholarship.law.berkeley.edu/bglj/vol21/iss1/6	9/24/2013	6	3	0
CONTU Revisited: The Case against Copyright Protection for Computer Programs in Machine-Readable Form	http://scholarship.law.berkeley.edu/facpubs/333	9/17/2012	6	5	0
