Full-Text Downloads for 2012-02-01 through 2013-09-20 for Berkeley Law Scholarship Repository																						
Title	URL	First published	2/1/2012	3/1/2012	4/1/2012	5/1/2012	6/1/2012	7/1/2012	8/1/2012	9/1/2012	10/1/2012	11/1/2012	12/1/2012	1/1/2013	2/1/2013	3/1/2013	4/1/2013	5/1/2013	6/1/2013	7/1/2013	8/1/2013	9/1/2013
Problems of the Closely Held Corporation: A Comparative Study of the Japanese and American Legal Systems and a Critique of the Japanese Tentative Draft on Close Corporations	http://scholarship.law.berkeley.edu/facpubs/884	9/18/2012	0	0	0	0	0	0	0	0	22	22	25	32	21	13	6	9	3	12	3	8
"Warren Olney, Jr., 1870-1939"	http://scholarship.law.berkeley.edu/californialawreview/vol27/iss4/4	7/24/2012	0	0	0	0	0	0	2	1	0	0	0	3	2	4	0	0	1	0	0	0
Dealing with a Reasource Crisis: Regulatory Regimes for Managing the World's Marine Fisheries	http://scholarship.law.berkeley.edu/facpubs/481	9/18/2012	0	0	0	0	0	0	0	0	12	8	8	13	7	4	6	9	3	3	2	6
La Revolution Californienne	http://works.bepress.com/stephen_sugarman/100	6/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Judge Frank Johnson in the Long Run	http://scholarship.law.berkeley.edu/facpubs/1141	9/18/2012	0	0	0	0	0	0	0	0	0	4	4	11	4	2	2	0	0	4	2	1
Private Clubs and Public Interests: A View from San Francisco	http://works.bepress.com/herma_kay/22	12/3/2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Auto Insurance Reform: Should We 'Pay at the Pump'?	http://works.bepress.com/stephen_sugarman/180	7/2/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pacific Ocean Resources, Science, and Law of the Sea: Wilbert M. Chapman and the Pacific Fisheries, 1945-70"	http://scholarship.law.berkeley.edu/facpubs/130	9/17/2012	0	0	0	0	0	0	0	0	13	5	9	14	12	7	4	7	3	1	1	0
A Blameworthy Act Approach to the Double Jeopardy Same Offense Problem	http://scholarship.law.berkeley.edu/californialawreview/vol83/iss4/2	7/10/2012	0	0	0	0	0	9	8	6	3	4	5	8	12	1	1	2	5	1	3	2
The Class Defense	http://scholarship.law.berkeley.edu/californialawreview/vol93/iss3/2	7/9/2012	0	0	0	0	0	2	0	3	5	4	4	5	5	2	2	3	1	2	0	2
Privileged Testimony of Husband and Wife in California	http://scholarship.law.berkeley.edu/californialawreview/vol19/iss4/3	7/24/2012	0	0	0	0	0	2	4	4	9	6	5	18	24	22	16	30	37	22	25	23
The Dissenter's Appraisal Remedy	http://scholarship.law.berkeley.edu/facpubs/528	9/18/2012	0	0	0	0	0	0	0	0	11	16	12	4	10	4	8	3	6	5	7	3
Anesthetizing the Public Conscience: Lethal Injection and Animal Euthanasia	http://scholarship.law.berkeley.edu/facpubs/835	9/18/2012	0	0	0	0	0	0	0	0	31	34	20	277	33	21	20	9	8	5	9	3
Legal Representation of the Indigent in Criminal Cases in Utah	http://scholarship.law.berkeley.edu/facpubs/1120	9/18/2012	0	0	0	0	0	0	0	0	3	6	11	8	3	10	5	13	17	2	4	10
The Promise of School Choice for Improving the Education of Low-Income Minority Children	http://works.bepress.com/stephen_sugarman/122	6/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vertical Merger Guidelines: Interpreting the 1982 Reforms	http://scholarship.law.berkeley.edu/californialawreview/vol71/iss2/13	7/10/2012	0	0	0	0	0	1	3	5	6	7	7	12	5	6	7	4	5	10	8	4
XI. Torts	http://scholarship.law.berkeley.edu/californialawreview/vol61/iss2/14	7/17/2012	0	0	0	0	0	0	0	2	1	4	2	2	0	0	1	0	0	1	0	0
Racketeer Influenced and Corrupt Organizations	http://scholarship.law.berkeley.edu/facpubs/2155	8/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
The Privilege of Confidential Communication between Lawyer and Client	http://scholarship.law.berkeley.edu/californialawreview/vol16/iss6/3	7/24/2012	0	0	0	0	0	0	0	9	26	12	13	18	30	26	16	31	12	28	30	16
The Tripartite Credit Card Transaction: A Legal Infant	http://scholarship.law.berkeley.edu/californialawreview/vol48/iss3/5	7/19/2012	0	0	0	0	0	0	11	10	2	7	8	20	15	12	36	18	15	10	11	12
"Television, Tort Law, and Federalism"	http://scholarship.law.berkeley.edu/californialawreview/vol53/iss1/20	7/18/2012	0	0	0	0	0	2	7	1	9	7	2	13	15	9	4	11	4	8	5	22
The Making of a Turning Point--Metro and Adarand	http://scholarship.law.berkeley.edu/californialawreview/vol84/iss4/1	7/10/2012	0	0	0	0	0	0	1	2	2	0	0	5	0	0	1	0	2	2	2	0
Small Loans in California	http://scholarship.law.berkeley.edu/californialawreview/vol29/iss3/4	7/24/2012	0	0	0	0	0	1	0	2	4	4	3	9	4	5	4	3	8	3	2	2
"The Pending Water Amendment to the California Constitution, and Possible Legislation"	http://scholarship.law.berkeley.edu/californialawreview/vol16/iss3/1	7/24/2012	0	0	0	0	0	0	1	6	2	12	5	10	10	3	2	7	3	8	1	8
Communicating with Juries: Problems and Remedies	http://scholarship.law.berkeley.edu/californialawreview/vol69/iss3/3	7/17/2012	0	0	0	0	0	0	1	1	8	13	10	10	14	12	2	2	0	4	2	4
A Closed Corporation Law for California	http://scholarship.law.berkeley.edu/californialawreview/vol54/iss5/3	7/17/2012	0	0	0	0	0	0	4	9	10	8	4	12	9	8	0	12	9	9	9	6
"The Ethics of Empire, Again"	http://scholarship.law.berkeley.edu/californialawreview/vol93/iss6/5	7/9/2012	0	0	0	0	0	5	1	3	8	6	5	6	7	5	3	4	14	1	2	1
Politics and Procedure in Environmental Law	http://works.bepress.com/daniel_farber/98	9/17/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Letting Patients Die: Legal and Moral Reflections	http://scholarship.law.berkeley.edu/facpubs/1568	9/20/2012	0	0	0	0	0	0	0	0	12	28	17	7	17	8	12	2	3	4	4	3
"Developments in the Law of Trademarks and Service Marks--Contributions of the Common Law, the Federal Act, State Statutes and the Restatement of Torts"	http://scholarship.law.berkeley.edu/californialawreview/vol58/iss4/3	7/17/2012	0	0	0	0	0	0	2	2	5	3	4	8	4	2	3	2	2	1	2	3
Arctic Boundaries and Climate Change: The Changing Concept of Space and Place in the Arctic and the Ensuing Battle of the International Community to Lay Claim	http://works.bepress.com/david_caron/84	4/25/2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Private Wealth and Public Education	http://works.bepress.com/stephen_sugarman/38	6/25/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Valuation In Investor-State Arbitration: Toward A More Exact Science	http://scholarship.law.berkeley.edu/bjil/vol30/iss1/5	4/24/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	28	13	27	30	16
William Carney Jones and the Founding Boalt Hall	http://scholarship.law.berkeley.edu/californialawreview/vol50/iss1/1	7/19/2012	0	0	0	0	0	1	1	2	2	1	2	3	5	3	2	1	2	0	0	0
"Fish, Farms, and the Clash of Cultures in the Klamath Basin"	http://scholarship.law.berkeley.edu/facpubs/719	9/18/2012	0	0	0	0	0	0	0	0	10	10	8	23	12	6	50	5	5	10	2	3
Should Congress Engage in Tort Reform?	http://works.bepress.com/stephen_sugarman/92	6/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Legal Concept of Insanity and the Treatment of Criminal Impulses	http://scholarship.law.berkeley.edu/californialawreview/vol37/iss4/3	7/20/2012	0	0	0	0	0	3	1	5	9	23	11	17	5	23	32	33	13	18	34	16
"Computer Programs, User Interfaces, and Section 102(b) of the Copyright Act of 1976: A Critique of Lotus v. Paperback"	http://scholarship.law.berkeley.edu/facpubs/2136	8/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Regulation and Civil Liability under the California Corporate Securities Act: IV	http://scholarship.law.berkeley.edu/californialawreview/vol34/iss4/3	7/20/2012	0	0	0	0	0	0	0	2	0	5	2	14	1	2	1	5	2	1	1	1
The Supreme Court of California 1970-1971: Insurance	http://scholarship.law.berkeley.edu/californialawreview/vol60/iss3/15	7/17/2012	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
"The California Law of Malpractice of Physicians, Surgeons, and Dentists"	http://scholarship.law.berkeley.edu/californialawreview/vol33/iss2/4	7/20/2012	0	0	0	0	0	3	4	11	15	12	16	14	23	23	28	26	21	33	10	15
"Innovation, Cooperation and Antitrust"	http://scholarship.law.berkeley.edu/facpubs/1111	9/18/2012	0	0	0	0	0	0	0	1	6	16	9	14	6	5	3	6	6	5	9	0
The Black/White Binary Paradigm of Race: The Normal Science of American Racial Thought	http://scholarship.law.berkeley.edu/californialawreview/vol85/iss5/3	7/10/2012	0	0	0	0	0	13	20	30	83	112	117	93	150	125	95	118	64	49	47	42
Jurisdiction over Unnamed Plaintiffs in Multistate Class Actions	http://scholarship.law.berkeley.edu/californialawreview/vol73/iss1/5	7/10/2012	0	0	0	0	0	3	4	7	5	8	9	18	14	5	3	5	6	3	2	0
Proposed Amendments to Federal Rule 26 offer Protections When Working with Experts	http://scholarship.law.berkeley.edu/facpubs/480	9/18/2012	0	0	0	0	0	0	0	0	7	5	5	5	4	0	0	1	0	0	0	0
The Duty of Good Faith in American Corporate Law	http://scholarship.law.berkeley.edu/facpubs/930	9/18/2012	0	0	0	0	0	0	0	1	6	9	11	9	7	1	3	9	3	5	1	1
The Prohibition on Abortion Counseling and Referral in Federally-Funded Family Planning Clinics	http://scholarship.law.berkeley.edu/californialawreview/vol77/iss5/5	7/10/2012	0	0	0	0	0	12	9	6	16	7	11	51	12	16	8	4	5	6	6	4
Disclosure in Contract Law	http://scholarship.law.berkeley.edu/californialawreview/vol91/iss6/4	7/9/2012	0	0	0	0	0	9	8	21	27	77	50	58	52	41	41	54	18	15	14	10
Improving Police Discretion Rationality in Handling Public Inebriates	http://scholarship.law.berkeley.edu/facpubs/716	9/18/2012	0	0	0	0	0	0	0	1	8	28	14	10	15	10	19	9	3	5	7	3
The Supreme Court of California 1966-1967: Family Law	http://scholarship.law.berkeley.edu/californialawreview/vol55/iss4/16	7/17/2012	0	0	0	0	0	0	1	0	1	4	1	3	0	1	1	2	1	0	1	3
"Kids, Guns, and Homicide: Policy Notes on an Age-Specific Epidemic"	http://scholarship.law.berkeley.edu/facpubs/1259	9/18/2012	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0
Legal Storytelling: Derailing a Civil Rights Legacy: The Chronicle of the Second Underground Railroad	http://scholarship.law.berkeley.edu/bjalp/vol5/iss1/3	4/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	4	1
Reforming Welfare through Social Security	http://scholarship.law.berkeley.edu/facpubs/606	9/18/2012	0	0	0	0	0	0	0	0	4	19	1	3	3	4	1	0	1	1	1	0
"Response to the Working Group, A"	http://scholarship.law.berkeley.edu/facpubs/1262	9/18/2012	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
The Fourteenth Amendment in its Relation to State Taxation of Intangibles	http://scholarship.law.berkeley.edu/californialawreview/vol18/iss4/1	7/24/2012	0	0	0	0	0	1	6	4	13	8	7	9	13	12	21	14	15	9	15	4
Easement Novelties	http://scholarship.law.berkeley.edu/californialawreview/vol30/iss2/1	7/24/2012	0	0	0	0	0	0	12	10	16	27	11	30	29	29	31	46	16	16	18	5
What Alternative to the Estate and Gift Taxes	http://scholarship.law.berkeley.edu/californialawreview/vol38/iss1/7	7/20/2012	0	0	0	0	0	0	3	6	6	2	9	8	1	4	20	14	8	3	6	1
Evidence: The Business-Entry Exception to the Hearsay Rule	http://scholarship.law.berkeley.edu/californialawreview/vol35/iss3/6	7/20/2012	0	0	0	0	0	2	2	2	4	2	5	4	5	5	4	15	5	5	14	1
The Constitutional Law of Intellectual Property after Eldred v. Ashcroft	http://scholarship.law.berkeley.edu/facpubs/1131	9/18/2012	0	0	0	0	0	0	0	0	8	12	6	8	15	10	6	2	1	1	0	2
Economic Development Agreements--Part II--Agreements between States and Aliens; Choice of Law and Remedy	http://scholarship.law.berkeley.edu/californialawreview/vol49/iss3/4	7/19/2012	0	0	0	0	0	0	0	5	9	9	6	41	31	6	8	4	7	10	4	3
The Kosovo Crisis: Implications of the Right to Return	http://scholarship.law.berkeley.edu/bjil/vol18/iss2/5	9/24/2012	0	0	0	0	0	0	0	0	5	16	6	8	6	8	4	6	3	2	0	2
The Legal Structures Governing Technology Transfers and Joint Ventures with the People's Republic of China	http://scholarship.law.berkeley.edu/bjil/vol3/iss1/1	9/23/2012	0	0	0	0	0	0	0	0	9	5	11	23	13	19	22	30	14	11	11	17
"Close Look at Three Court-Sponsered ADR Programs: Why They Exist, How They Operate, What They Deliver, and Whether They Threaten Important Values, A"	http://scholarship.law.berkeley.edu/facpubs/343	9/17/2012	0	0	0	0	0	0	0	0	12	8	7	10	10	3	3	2	0	1	0	3
Verdicts Matter: An Empirical Study of California Employment Discrimination and Wrongful Discharge Jury Verdicts Reveals Low Success Rates for Women and Minorities	http://scholarship.law.berkeley.edu/facpubs/878	9/18/2012	0	0	0	0	0	0	0	0	64	49	74	76	97	52	67	60	38	46	39	24
Creating Legal Doctrine	http://scholarship.law.berkeley.edu/facpubs/2067	8/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Spousal Emotional Abuse as a Tort?	http://works.bepress.com/stephen_sugarman/91	6/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
What Has Never Happened before and Is Happening Again: Development and Discrimination in the San Joaquin Valley	http://scholarship.law.berkeley.edu/bjalp/vol9/iss2/2	4/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	3	6	4	4
Cost Containment and the Standard of Medical Care	http://scholarship.law.berkeley.edu/californialawreview/vol75/iss5/4	7/10/2012	0	0	0	0	0	6	11	10	14	19	19	38	8	12	4	6	8	4	5	6
Structural Dimensions of Romantic Preferences	http://scholarship.law.berkeley.edu/facpubs/1508	9/20/2012	0	0	0	0	0	0	0	0	6	11	8	10	10	5	9	5	3	6	5	3
Richard W. Jennings and the Academic Senate: A Strong Hand in Troubled Times	http://works.bepress.com/herma_kay/6	12/3/2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"The Remote Causes of Affirmative Action, or School Desegregation in Kansas City, Missouri"	http://scholarship.law.berkeley.edu/californialawreview/vol84/iss4/5	7/10/2012	0	0	0	0	0	5	5	7	5	10	20	13	10	24	11	9	4	9	16	4
Full-Text Databases and Legal Research: Backing into the Future	http://works.bepress.com/robert_berring/6	7/30/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
South Africa: United States Economic Sanctions and the Impact on Apartheid	http://scholarship.law.berkeley.edu/facpubs/396	9/17/2012	0	0	0	0	0	0	0	3	9	9	8	17	11	4	6	2	4	4	4	1
In re World War II Era Japanese Forced Labor Litigation and Obsticles to International Human Rights Claims in U.S. Courts	http://scholarship.law.berkeley.edu/aalj/vol10/iss2/5	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Paradigms Lost: How Domestic Partnership Went From Innovation to Injury	http://works.bepress.com/melissa_murray/18	5/29/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	1	4
"Currie's Interest Analysis in the 21st Century: Losing the Battle, but Winning the War"	http://works.bepress.com/herma_kay/27	12/3/2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Secured Creditor's Complaint: Relief from the Automatic Stays in Bankruptcy Proceedings	http://scholarship.law.berkeley.edu/californialawreview/vol65/iss6/3	7/17/2012	0	0	0	0	0	0	15	11	22	22	22	47	29	10	7	14	11	9	21	3
Expression Rules in Contract Law and Problems of Offer and Acceptance	http://scholarship.law.berkeley.edu/facpubs/2012	8/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
A Statistical Analysis of the Workload of the California Supreme Court	http://scholarship.law.berkeley.edu/californialawreview/vol65/iss2/14	7/17/2012	0	0	0	0	0	1	2	0	2	1	0	4	2	0	1	4	0	1	0	0
Tribute to Justice Ruth Bader Ginsburg	http://scholarship.law.berkeley.edu/facpubs/2081	8/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"If Voters Won't Go for Taxing Oil to Conserve Energy, How Do We Do It?"	http://works.bepress.com/aaron_edlin/43	12/4/2006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Innocence Interrupted: Reconstructing Fatherhood in the Shadow of Child Molestation Law	http://scholarship.law.berkeley.edu/californialawreview/vol101/iss3/3	6/11/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	36	25	11
Nations Contacts as a Basis for In Personam Jurisdiction over Aliens in Federal Question Suits	http://scholarship.law.berkeley.edu/californialawreview/vol70/iss3/6	7/17/2012	0	0	0	0	0	0	8	5	7	6	5	7	4	1	2	3	0	0	2	1
Courts-Martial of the U. S. Army	http://scholarship.law.berkeley.edu/californialawreview/vol30/iss1/2	7/24/2012	0	0	0	0	0	0	2	3	2	2	2	2	11	1	3	5	0	2	1	7
Testimonial Waiver of the Privilege against Self-Incrimination and Brown v. United States	http://scholarship.law.berkeley.edu/californialawreview/vol48/iss1/6	7/19/2012	0	0	0	0	0	1	6	4	13	10	8	3	8	17	3	29	8	15	1	9
The Supreme Court of California 1969-1970: Criminal Procedure--VI	http://scholarship.law.berkeley.edu/californialawreview/vol59/iss1/10	7/17/2012	0	0	0	0	0	0	1	0	1	0	2	0	0	1	0	3	8	0	1	0
The Threatened Constitutionalization of the Internal Affairs Doctrine in Corporation Law	http://scholarship.law.berkeley.edu/californialawreview/vol75/iss1/3	7/10/2012	0	0	0	0	0	6	1	7	21	32	16	9	10	6	6	3	3	2	2	5
The Supreme Court of California 1970-1971: Labor Law	http://scholarship.law.berkeley.edu/californialawreview/vol60/iss3/13	7/17/2012	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	0	0	0	0
Rights and Their Limits: The Constitution for Europe in International and Comparative Legal Perspective	http://scholarship.law.berkeley.edu/bjil/vol23/iss1/7	9/24/2012	0	0	0	0	0	0	0	0	10	13	15	8	29	28	13	20	16	14	23	14
On Legislating Morals: The Symbolic Process of Designating Deviance	http://scholarship.law.berkeley.edu/californialawreview/vol56/iss1/5	7/17/2012	0	0	0	0	0	1	5	10	13	13	21	12	32	25	33	19	16	16	18	15
"Policy, Privacy, and Prerogatives: A Critical Examination of the Proposed Federal Rules of Evidence as They Affect Marital Privilege"	http://scholarship.law.berkeley.edu/californialawreview/vol61/iss6/2	7/17/2012	0	0	0	0	0	1	6	12	36	42	27	55	37	27	26	21	32	35	29	22
Sonoma County Organization of Public Employees v. County of Sonoma: The Contract Clause and Home Rule Powers Revitalized in California	http://scholarship.law.berkeley.edu/californialawreview/vol68/iss4/10	7/17/2012	0	0	0	0	0	0	3	2	3	1	6	4	1	1	2	1	2	1	2	0
People v. Ramirez: A New Liberty Interest Expands Due Process Protections	http://scholarship.law.berkeley.edu/californialawreview/vol69/iss4/8	7/17/2012	0	0	0	0	0	2	2	2	5	7	6	4	14	2	2	5	1	3	1	3
Environmental Citizen Suits: Three Years' Experience under the Michigan Environmental Protection Act	http://scholarship.law.berkeley.edu/facpubs/1108	9/18/2012	0	0	0	0	0	0	0	1	26	18	17	27	16	10	7	7	6	9	4	3
Information Lost and Found	http://scholarship.law.berkeley.edu/californialawreview/vol100/iss3/6	7/6/2012	0	0	0	0	0	30	5	5	8	6	11	12	7	5	3	5	2	4	3	2
Schlick v. Penn-Dixie Cement Corp: Fraudulent Mismanagement Independent of Misrepresentation or Nondisclosure Violates Rule 10b-5	http://scholarship.law.berkeley.edu/californialawreview/vol63/iss2/7	7/17/2012	0	0	0	0	0	2	3	4	10	10	6	19	11	7	1	6	3	1	1	2
"Freedom, Mass Incarceration, and Racism in the Age of Obama"	http://scholarship.law.berkeley.edu/facpubs/1911	8/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
A Response to Professor Fox	http://scholarship.law.berkeley.edu/californialawreview/vol76/iss5/3	7/10/2012	0	0	0	0	0	1	0	2	1	2	2	2	2	0	1	0	0	0	0	1
Declaratory Judgement in California	http://scholarship.law.berkeley.edu/californialawreview/vol8/iss3/1	7/24/2012	0	0	0	0	0	0	5	9	5	10	15	31	34	9	9	12	9	5	18	11
An Ordinary Economic Rationale for Extraordinary Legal Sanctions	http://scholarship.law.berkeley.edu/californialawreview/vol78/iss1/1	7/10/2012	0	0	0	0	0	1	7	15	12	11	4	5	3	13	3	5	8	0	2	2
Finding a Home for Fictional Characters: A Proposal for Change in Copyright Protection	http://scholarship.law.berkeley.edu/californialawreview/vol78/iss3/2	7/10/2012	0	0	0	0	0	3	8	12	18	16	26	37	26	11	15	15	5	19	7	7
Futher Remarks on Compensation for Ideas in California	http://scholarship.law.berkeley.edu/californialawreview/vol46/iss5/2	7/19/2012	0	0	0	0	0	0	1	1	9	2	1	3	4	3	4	9	13	2	9	1
The Arbitrability of International Intellectual Property Disputes	http://scholarship.law.berkeley.edu/bjil/vol14/iss1/4	9/24/2012	0	0	0	0	0	0	0	0	40	49	61	120	92	76	100	135	73	85	57	51
Contractual Ordering of Marriage: A New Model for State Policy	http://scholarship.law.berkeley.edu/facpubs/1397	9/20/2012	0	0	0	0	0	0	0	0	4	13	17	19	25	26	18	19	9	9	9	7
Disarmed by Time: The Second Amendment and the Failure of Originalism	http://works.bepress.com/daniel_farber/133	9/17/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Constitutional Law	http://scholarship.law.berkeley.edu/californialawreview/vol63/iss1/7	7/17/2012	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0
DISASTER LAW AND POLICY	http://works.bepress.com/daniel_farber/69	9/17/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Right of an Illegal Alien to Maintain a Civil Action	http://scholarship.law.berkeley.edu/californialawreview/vol63/iss3/6	7/17/2012	0	0	0	0	0	0	10	28	24	53	61	71	48	23	24	49	35	29	32	25
Injunction Without Damage as Illustrated By a Point in the Law of Waters	http://scholarship.law.berkeley.edu/californialawreview/vol5/iss3/2	7/24/2012	0	0	0	0	0	0	3	1	2	6	3	3	1	0	4	2	6	1	3	3
"Campus Anti-Slur Regulations: Speakers, Victims, and the First Amendment"	http://scholarship.law.berkeley.edu/californialawreview/vol79/iss3/9	7/10/2012	0	0	0	0	0	4	4	5	5	12	10	5	10	2	0	0	2	3	0	1
"Regulating Governmental Data Mining in the United States and Germany: Constitutional Courts, the State, and New Technology"	http://scholarship.law.berkeley.edu/facpubs/1177	9/18/2012	0	0	0	0	0	0	0	3	17	16	11	30	17	11	8	9	13	12	5	2
Financial Support of Children and the End of Welfare as We Know It	http://works.bepress.com/stephen_sugarman/216	7/2/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Some Thoughts on the Decline of Private Property	http://works.bepress.com/joseph_sax/20	11/19/2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Law of Cyber-Attack	http://scholarship.law.berkeley.edu/californialawreview/vol100/iss4/2	2/6/2013	0	0	0	0	0	0	0	0	0	0	0	0	5	5	11	8	7	12	15	13
Performing Interdependence: Judith Butler and Sunaura Taylor in the Examined Life	http://scholarship.law.berkeley.edu/facpubs/464	9/18/2012	0	0	0	0	0	0	0	3	42	36	47	93	68	70	84	52	43	34	42	29
Private Ownership of Public Image: Popular Culture and Publicity Rights	http://scholarship.law.berkeley.edu/californialawreview/vol81/iss1/3	7/10/2012	0	0	0	0	0	13	37	30	73	106	91	88	133	55	46	60	83	98	36	20
The Decline of Innocence	http://scholarship.law.berkeley.edu/facpubs/584	9/18/2012	0	0	0	0	0	0	0	0	5	9	0	4	4	9	10	12	10	4	2	3
The Role of the United States Government in Recent Holocaust Claims Resolution	http://scholarship.law.berkeley.edu/bjil/vol20/iss1/1	9/24/2012	0	0	0	0	0	0	0	0	2	2	3	0	2	2	0	1	2	0	0	1
Ehrenzweig's Proper Law and Proper Forum	http://works.bepress.com/herma_kay/36	12/3/2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Who's Afraid of Law and the Emotions?	http://works.bepress.com/kathryn_abrams/94	2/19/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	3	3	3	7	3
Letter to the Editor	http://scholarship.law.berkeley.edu/facpubs/549	9/18/2012	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Agriculture and the Environment: Introduction to the Conference Issue	http://works.bepress.com/holly_doremus/23	11/30/2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Preserving Citizen Participation in the Era of Reinvention: The Endangered Species Act Example	http://scholarship.law.berkeley.edu/facpubs/568	9/18/2012	0	0	0	0	0	0	0	1	8	9	8	5	2	5	8	4	0	1	0	1
Some Recent Decisions on the Law of Taxation	http://scholarship.law.berkeley.edu/californialawreview/vol22/iss3/2	7/24/2012	0	0	0	0	0	0	0	0	2	4	21	3	1	1	0	1	0	3	1	1
Preliminary Project for an Italian Penal Code	http://scholarship.law.berkeley.edu/californialawreview/vol10/iss5/2	7/24/2012	0	0	0	0	0	0	0	1	0	2	5	7	4	3	2	4	2	1	1	1
Outdoor Advertising Control along the Interstate Highway System	http://scholarship.law.berkeley.edu/californialawreview/vol46/iss5/6	7/19/2012	0	0	0	0	0	0	0	1	9	11	7	15	10	14	8	20	5	8	2	11
Heal the Environment - Apply a Compress of Cold Cash	http://scholarship.law.berkeley.edu/facpubs/414	9/17/2012	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0
The Revision and Codification of California Statutes 1849-1953	http://scholarship.law.berkeley.edu/californialawreview/vol42/iss5/3	7/19/2012	0	0	0	0	0	2	7	11	17	8	15	22	22	15	16	26	25	30	20	19
"The Bricker Amendment and Congress's Failure to Check the Inflation of the Executive's Foreign Affairs Powers, 1951-1954"	http://scholarship.law.berkeley.edu/californialawreview/vol94/iss1/5	7/9/2012	0	0	0	0	0	4	5	5	15	17	10	20	22	11	10	5	16	10	13	11
The Transnational and Sub-National in Global Crimes	http://scholarship.law.berkeley.edu/bjil/vol22/iss1/4	9/24/2012	0	0	0	0	0	0	0	0	5	8	9	8	14	6	9	7	4	4	13	4
Walls and Bridges: A Comment on Philip Selznick's The Moral Commonwealth	http://scholarship.law.berkeley.edu/californialawreview/vol82/iss2/5	7/10/2012	0	0	0	0	0	5	2	7	11	15	17	16	17	7	3	9	8	5	7	5
1961 California Juvenile Court Law: Effective Uniform Standards for Juvenile Court Procedure	http://scholarship.law.berkeley.edu/californialawreview/vol51/iss2/8	7/17/2012	0	0	0	0	0	0	7	10	3	5	4	9	12	5	4	9	5	2	9	8
National Security v. Civil Liberties	http://scholarship.law.berkeley.edu/californialawreview/vol95/iss6/5	7/9/2012	0	0	0	0	0	6	3	10	11	16	12	11	10	9	8	5	2	4	10	15
Rethinking Collective Responsibility for Education	http://scholarship.law.berkeley.edu/facpubs/914	9/18/2012	0	0	0	0	0	0	0	0	4	7	4	6	5	3	0	6	1	0	0	0
Community Obligations	http://scholarship.law.berkeley.edu/californialawreview/vol10/iss2/3	7/24/2012	0	0	0	0	0	0	2	0	1	1	3	2	1	7	2	1	2	2	2	2
